InvoiceNo,InvoiceDate,CustomerID,ProductID,Quantity,UnitPrice,Revenue,IsReturn
512970,2024-11-17,21808,10071,5,27.84,139.2,False
506756,2025-04-15,20899,10003,3,16.33,48.99,False
504261,2024-08-10,20578,10061,3,20.56,61.68,False
510776,2024-03-07,21531,10076,9,23.35,210.15,False
509409,2025-11-25,21246,10075,12,56.44,677.28,False
512467,2025-01-20,21727,10049,10,6.06,60.6,False
512705,2025-03-10,21754,10020,9,16.84,151.56,False
512374,2025-01-25,21713,10025,12,33.32,399.84,False
502018,2025-06-04,20215,10025,11,33.32,366.52,False
508989,2024-11-19,21239,10012,6,17.43,104.58,False
507269,2025-07-10,20960,10064,3,38.17,114.51,False
502815,2024-12-31,20351,10082,11,62.04,682.44,False
500447,2024-05-12,20046,10043,12,9.96,119.52,False
503503,2025-10-16,20408,10026,6,30.64,183.84,False
512028,2024-07-24,21690,10013,10,24.47,244.7,False
510158,2025-07-29,21370,10045,7,2.28,15.96,False
510923,2024-02-01,21557,10001,7,41.2,288.4,False
512996,2025-01-31,21801,10069,5,14.82,74.1,False
500916,2024-09-29,20093,10019,11,59.39,653.29,False
506052,2024-12-20,20815,10006,9,8.19,73.71,False
510773,2024-12-02,21492,10064,12,38.17,458.04,False
510641,2024-12-03,21473,10006,6,8.19,49.14,False
510391,2025-12-11,21384,10060,4,57.35,229.4,False
502263,2024-11-06,20280,10043,1,9.96,9.96,False
502401,2025-09-29,20253,10062,2,40.82,81.64,False
506693,2025-11-18,20859,10077,1,27.01,27.01,False
507769,2025-02-23,21051,10011,6,18.3,109.8,False
504675,2024-08-18,20636,10059,10,54.66,546.6,False
510229,2025-08-06,21379,10048,6,13.2,79.2,False
503737,2025-09-21,20445,10083,5,56.44,282.2,False
505010,2024-11-16,20671,10005,2,40.32,80.64,False
501997,2025-08-06,20203,10084,1,41.35,41.35,False
507643,2025-08-17,21008,10078,5,84.38,421.9,False
511055,2025-11-05,21484,10055,1,36.56,36.56,False
514320,2025-10-25,21952,10069,5,14.82,74.1,False
503368,2024-01-02,20482,10068,10,28.18,281.8,False
509195,2024-10-25,21272,10059,12,54.66,655.92,False
500936,2024-08-17,20102,10009,10,25.31,253.1,False
507124,2024-04-13,21004,10009,7,25.31,177.17,False
512658,2024-10-02,21770,10060,10,57.35,573.5,False
501051,2024-05-14,20132,10031,4,3.32,13.28,False
505363,2024-01-23,20764,10082,3,62.04,186.12,False
502042,2024-12-14,20243,10033,8,21.68,173.44,False
507602,2024-06-24,21062,10078,7,84.38,590.66,False
512327,2025-02-24,21702,10005,5,40.32,201.6,False
507229,2025-11-15,20936,10003,4,16.33,65.32,False
510716,2024-11-17,21486,10031,11,3.32,36.52,False
504952,2025-11-27,20609,10061,9,20.56,185.04,False
512025,2024-12-01,21671,10063,9,26.77,240.93,False
503521,2024-08-05,20473,10029,12,16.42,197.04,False
508116,2024-01-25,21157,10040,10,26.77,267.7,False
505045,2024-03-02,20713,10059,4,54.66,218.64,False
508387,2024-11-19,21153,10086,5,30.68,153.4,False
504324,2025-06-21,20542,10031,6,3.32,19.92,False
507789,2024-12-28,21062,10058,4,52.35,209.4,False
503832,2024-02-29,20540,10071,2,27.84,55.68,False
510678,2025-01-23,21471,10054,1,67.14,67.14,False
503897,2025-12-13,20456,10021,2,13.81,27.62,False
505286,2025-10-28,20661,10018,11,39.22,431.42,False
500777,2025-07-21,20031,10062,9,40.82,367.38,False
507239,2024-10-15,20994,10064,2,38.17,76.34,False
500711,2025-11-14,20005,10005,6,40.32,241.92,False
507177,2025-08-27,20940,10053,1,5.52,5.52,False
512508,2025-05-18,21716,10062,4,40.82,163.28,False
509769,2025-05-23,21324,10047,2,8.11,16.22,False
507976,2025-10-09,21048,10047,11,8.11,89.21,False
503430,2025-02-10,20433,10085,3,44.05,132.15,False
512502,2024-11-04,21743,10042,12,12.86,154.32,False
500996,2025-10-08,20051,10048,12,13.2,158.4,False
502826,2024-04-27,20388,10044,6,11.38,68.28,False
501675,2025-03-12,20178,10080,7,26.08,182.56,False
505640,2025-11-01,20711,10007,1,38.39,38.39,False
503128,2025-09-14,20359,10012,6,17.43,104.58,False
502316,2024-07-07,20305,10049,3,6.06,18.18,False
512329,2024-11-27,21715,10026,6,30.64,183.84,False
508079,2025-04-29,21086,10074,2,38.02,76.04,False
510106,2024-03-16,21434,10056,4,78.51,314.04,False
507688,2024-11-06,21055,10014,4,26.67,106.68,False
511017,2025-06-08,21500,10062,4,40.82,163.28,False
510950,2024-12-18,21515,10085,6,44.05,264.3,False
506273,2024-02-27,20889,10077,7,27.01,189.07,False
512467,2025-10-27,21687,10021,4,13.81,55.24,False
501803,2025-01-03,20206,10059,6,54.66,327.96,False
513632,2025-04-17,21881,10021,12,13.81,165.72,False
506667,2024-06-06,20931,10003,10,16.33,163.3,False
502348,2024-06-20,20312,10068,6,28.18,169.08,False
512136,2024-03-02,21726,10074,6,38.02,228.12,False
509428,2024-03-03,21339,10048,4,13.2,52.8,False
507535,2025-02-13,21019,10080,1,26.08,26.08,False
504483,2025-11-27,20542,10079,6,55.08,330.48,False
509555,2025-12-15,21264,10054,3,67.14,201.42,False
511951,2025-12-10,21607,10004,7,19.11,133.77,False
505405,2024-06-18,20749,10049,10,6.06,60.6,False
502128,2024-01-22,20302,10060,1,57.35,57.35,False
502103,2024-01-04,20301,10038,9,7.17,64.53,False
511738,2025-09-28,21587,10015,11,28.48,313.28,False
509047,2024-10-03,21254,10017,8,48.6,388.8,False
504049,2025-06-12,20504,10063,10,26.77,267.7,False
507432,2025-10-11,20970,10056,2,78.51,157.02,False
502997,2025-10-14,20336,10059,2,54.66,109.32,False
505189,2024-12-18,20692,10082,5,62.04,310.2,False
511973,2025-11-20,21613,10061,10,20.56,205.6,False
504312,2025-11-24,20518,10032,5,8.19,40.95,False
513805,2024-11-26,21926,10040,5,26.77,133.85,False
510324,2025-08-10,21392,10062,4,40.82,163.28,False
501112,2024-11-24,20113,10017,2,48.6,97.2,False
504456,2024-01-12,20636,10005,12,40.32,483.84,False
504550,2024-07-22,20622,10078,12,84.38,1012.56,False
508339,2024-10-09,21152,10009,3,25.31,75.93,False
C514254,2024-10-09,21997,10063,-3,26.77,-80.31,True
503983,2024-12-16,20520,10007,1,38.39,38.39,False
502863,2025-01-13,20356,10052,4,6.43,25.72,False
511223,2025-11-12,21507,10044,4,11.38,45.52,False
509176,2025-03-23,21248,10062,9,40.82,367.38,False
505381,2024-05-18,20750,10018,11,39.22,431.42,False
510046,2024-10-01,21397,10060,9,57.35,516.15,False
507077,2025-01-20,20957,10016,11,59.75,657.25,False
512954,2025-07-11,21772,10078,12,84.38,1012.56,False
513596,2025-09-03,21856,10039,8,10.23,81.84,False
504856,2025-04-19,20627,10047,8,8.11,64.88,False
510408,2024-12-22,21437,10033,5,21.68,108.4,False
507174,2024-05-12,21007,10007,7,38.39,268.73,False
510645,2024-12-07,21473,10051,2,1.83,3.66,False
C505745,2025-08-16,20737,10055,-3,36.56,-109.68,True
505316,2025-07-24,20679,10032,9,8.19,73.71,False
500536,2024-09-27,20039,10053,8,5.52,44.16,False
512111,2024-12-17,21681,10007,5,38.39,191.95,False
507484,2024-09-03,21035,10082,1,62.04,62.04,False
505724,2024-11-23,20772,10067,2,11.74,23.48,False
508249,2025-12-25,21076,10072,10,8.74,87.4,False
514367,2025-06-19,21977,10014,10,26.67,266.7,False
512040,2025-02-17,21662,10027,8,55.44,443.52,False
512825,2024-10-15,21792,10080,3,26.08,78.24,False
505290,2024-02-10,20751,10065,10,7.48,74.8,False
509728,2025-05-17,21319,10032,11,8.19,90.09,False
507987,2025-11-10,21045,10030,10,9.68,96.8,False
512361,2025-12-28,21663,10061,10,20.56,205.6,False
510327,2024-04-10,21462,10004,11,19.11,210.21,False
507740,2024-05-04,21089,10050,4,9.37,37.48,False
507063,2024-12-02,20962,10018,8,39.22,313.76,False
510910,2025-10-10,21467,10008,6,37.49,224.94,False
507232,2024-08-13,21002,10005,11,40.32,443.52,False
502410,2025-10-29,20250,10058,7,52.35,366.45,False
501110,2025-01-03,20107,10024,2,6.96,13.92,False
514175,2024-12-02,21978,10066,1,38.84,38.84,False
504118,2025-05-14,20518,10031,8,3.32,26.56,False
511242,2024-02-12,21601,10056,7,78.51,549.57,False
502090,2025-05-16,20228,10020,10,16.84,168.4,False
502679,2025-11-22,20285,10075,2,56.44,112.88,False
500757,2024-12-24,20058,10077,9,27.01,243.09,False
503663,2024-09-25,20486,10078,10,84.38,843.8,False
514192,2025-05-01,21959,10034,2,8.42,16.84,False
508073,2024-01-31,21150,10081,6,80.96,485.76,False
500298,2024-06-14,20020,10020,8,16.84,134.72,False
511278,2025-08-26,21526,10026,6,30.64,183.84,False
513625,2025-07-17,21867,10010,10,19.21,192.1,False
502690,2025-09-03,20298,10045,11,2.28,25.08,False
508087,2025-01-15,21102,10062,8,40.82,326.56,False
513797,2024-12-16,21922,10086,1,30.68,30.68,False
505299,2025-11-10,20661,10015,2,28.48,56.96,False
505224,2025-01-22,20692,10067,9,11.74,105.66,False
509270,2025-08-27,21239,10007,12,38.39,460.68,False
514265,2024-12-08,21990,10037,10,25.41,254.1,False
513610,2025-10-01,21854,10058,1,52.35,52.35,False
510885,2024-12-16,21506,10069,4,14.82,59.28,False
504244,2024-10-09,20567,10065,4,7.48,29.92,False
507416,2025-09-11,20972,10042,3,12.86,38.58,False
502634,2024-08-21,20344,10039,3,10.23,30.69,False
505115,2024-02-10,20726,10066,2,38.84,77.68,False
513566,2024-06-17,21915,10047,9,8.11,72.99,False
501499,2024-06-04,20193,10069,2,14.82,29.64,False
502062,2024-10-04,20256,10053,7,5.52,38.64,False
501539,2024-11-10,20176,10063,6,26.77,160.62,False
503492,2025-12-07,20399,10039,6,10.23,61.38,False
509186,2025-01-15,21259,10027,4,55.44,221.76,False
505879,2025-10-05,20749,10063,7,26.77,187.39,False
511042,2024-08-01,21548,10032,7,8.19,57.33,False
508725,2024-12-19,21197,10081,8,80.96,647.68,False
512826,2024-05-01,21816,10044,1,11.38,11.38,False
505219,2025-12-26,20643,10068,6,28.18,169.08,False
505213,2024-04-20,20730,10079,7,55.08,385.56,False
501207,2025-12-18,20071,10082,8,62.04,496.32,False
513160,2024-02-05,21876,10061,9,20.56,185.04,False
512376,2025-12-01,21669,10055,1,36.56,36.56,False
504791,2025-10-02,20594,10083,8,56.44,451.52,False
503637,2025-01-10,20467,10037,2,25.41,50.82,False
513167,2024-01-15,21880,10003,1,16.33,16.33,False
507674,2025-04-23,21029,10047,8,8.11,64.88,False
513471,2025-09-04,21838,10075,6,56.44,338.64,False
505115,2025-11-29,20632,10005,9,40.32,362.88,False
502866,2025-12-04,20310,10003,4,16.33,65.32,False
508877,2025-10-28,21174,10068,10,28.18,281.8,False
512748,2025-12-02,21722,10057,4,51.3,205.2,False
501929,2025-04-04,20211,10021,3,13.81,41.43,False
510300,2025-03-27,21408,10067,6,11.74,70.44,False
500627,2024-05-10,20072,10039,7,10.23,71.61,False
510148,2024-11-16,21405,10071,8,27.84,222.72,False
512735,2025-03-05,21759,10026,8,30.64,245.12,False
512240,2025-04-25,21681,10085,1,44.05,44.05,False
508773,2024-08-28,21220,10038,8,7.17,57.36,False
507947,2025-03-12,21074,10030,7,9.68,67.76,False
502206,2025-01-14,20262,10059,7,54.66,382.62,False
507416,2024-11-21,21014,10007,1,38.39,38.39,False
513033,2024-02-04,21858,10080,9,26.08,234.72,False
505868,2025-12-31,20735,10034,8,8.42,67.36,False
504412,2025-05-21,20559,10019,8,59.39,475.12,False
512707,2025-08-20,21731,10045,9,2.28,20.52,False
507654,2024-06-20,21070,10085,3,44.05,132.15,False
512800,2024-07-05,21803,10004,1,19.11,19.11,False
501138,2025-07-04,20085,10015,11,28.48,313.28,False
502835,2025-08-11,20322,10080,2,26.08,52.16,False
510105,2025-10-03,21353,10075,3,56.44,169.32,False
511027,2024-08-07,21545,10077,12,27.01,324.12,False
513984,2024-12-07,21950,10044,4,11.38,45.52,False
503929,2024-03-13,20552,10033,5,21.68,108.4,False
503811,2024-07-11,20518,10006,9,8.19,73.71,False
502678,2024-04-19,20368,10041,3,8.14,24.42,False
C511060,2025-10-13,21488,10033,-3,21.68,-65.04,True
502935,2024-06-26,20395,10050,12,9.37,112.44,False
512698,2024-03-18,21804,10005,11,40.32,443.52,False
508103,2024-03-22,21147,10046,10,8.58,85.8,False
509498,2024-03-10,21348,10069,5,14.82,74.1,False
504625,2025-12-13,20560,10081,8,80.96,647.68,False
510640,2025-03-24,21457,10014,9,26.67,240.03,False
503671,2024-10-10,20485,10048,10,13.2,132.0,False
502733,2024-10-31,20348,10064,11,38.17,419.87,False
501681,2024-11-05,20197,10005,12,40.32,483.84,False
502257,2024-05-16,20304,10040,10,26.77,267.7,False
504549,2024-01-07,20650,10020,9,16.84,151.56,False
501473,2024-01-11,20210,10021,9,13.81,124.29,False
511510,2025-11-05,21549,10029,12,16.42,197.04,False
504941,2024-02-11,20701,10034,11,8.42,92.62,False
500667,2025-01-01,20044,10032,3,8.19,24.57,False
512790,2024-09-24,21790,10043,10,9.96,99.6,False
507130,2025-01-10,20966,10055,2,36.56,73.12,False
509478,2024-12-09,21306,10086,9,30.68,276.12,False
508729,2024-10-21,21206,10033,5,21.68,108.4,False
511269,2024-05-19,21591,10068,8,28.18,225.44,False
501026,2024-11-29,20100,10015,2,28.48,56.96,False
505609,2025-08-20,20717,10016,8,59.75,478.0,False
504435,2024-11-22,20588,10056,1,78.51,78.51,False
508362,2025-01-03,21143,10081,1,80.96,80.96,False
513048,2024-12-30,21813,10012,1,17.43,17.43,False
500474,2024-11-09,20024,10063,4,26.77,107.08,False
514513,2025-08-20,21989,10050,7,9.37,65.59,False
506976,2024-12-13,20948,10037,9,25.41,228.69,False
512215,2024-11-11,21701,10028,4,39.61,158.44,False
513478,2024-05-16,21907,10085,1,44.05,44.05,False
502941,2025-07-22,20340,10079,7,55.08,385.56,False
503851,2025-10-14,20458,10018,1,39.22,39.22,False
511370,2025-11-05,21529,10081,9,80.96,728.64,False
505992,2024-05-13,20838,10011,6,18.3,109.8,False
506427,2024-04-30,20902,10033,7,21.68,151.76,False
504426,2024-03-20,20622,10018,1,39.22,39.22,False
502641,2024-09-11,20342,10017,7,48.6,340.2,False
512430,2025-11-01,21681,10070,8,35.47,283.76,False
506935,2024-07-27,20962,10069,2,14.82,29.64,False
500221,2024-04-12,20018,10079,5,55.08,275.4,False
513331,2025-02-20,21846,10084,5,41.35,206.75,False
501887,2024-07-26,20241,10003,11,16.33,179.63,False
512532,2024-09-11,21755,10064,3,38.17,114.51,False
510502,2025-08-20,21416,10033,9,21.68,195.12,False
506208,2025-12-28,20784,10078,8,84.38,675.04,False
505735,2024-07-31,20790,10047,8,8.11,64.88,False
501159,2024-10-04,20127,10047,2,8.11,16.22,False
506152,2025-10-05,20788,10004,11,19.11,210.21,False
512752,2024-05-25,21802,10081,12,80.96,971.52,False
512751,2025-02-21,21763,10059,12,54.66,655.92,False
514178,2025-01-09,21973,10082,5,62.04,310.2,False
509614,2024-10-10,21334,10040,12,26.77,321.24,False
507559,2025-02-09,21023,10033,4,21.68,86.72,False
511435,2024-06-14,21611,10059,2,54.66,109.32,False
503454,2024-10-31,20451,10008,9,37.49,337.41,False
513330,2025-12-31,21801,10071,5,27.84,139.2,False
507936,2024-11-23,21088,10015,9,28.48,256.32,False
506985,2025-12-07,20898,10002,11,36.7,403.7,False
510349,2025-08-28,21393,10030,7,9.68,67.76,False
508955,2025-12-24,21177,10066,9,38.84,349.56,False
506843,2024-04-05,20965,10067,1,11.74,11.74,False
513048,2025-03-24,21801,10005,6,40.32,241.92,False
505490,2025-07-09,20706,10066,4,38.84,155.36,False
512455,2025-08-27,21694,10047,7,8.11,56.77,False
503828,2024-12-29,20496,10042,9,12.86,115.74,False
506381,2025-10-17,20819,10016,9,59.75,537.75,False
504878,2025-12-28,20594,10038,8,7.17,57.36,False
503022,2025-03-22,20369,10027,5,55.44,277.2,False
500837,2024-05-24,20100,10033,8,21.68,173.44,False
508076,2024-05-11,21136,10042,8,12.86,102.88,False
503646,2024-03-17,20511,10080,10,26.08,260.8,False
514619,2025-11-20,21991,10023,6,7.42,44.52,False
513507,2024-06-14,21907,10029,7,16.42,114.94,False
C504879,2025-01-13,20644,10042,-1,12.86,-12.86,True
500683,2025-07-25,20017,10064,11,38.17,419.87,False
510754,2024-11-13,21492,10012,7,17.43,122.01,False
510889,2025-12-12,21455,10058,12,52.35,628.2,False
505412,2025-02-25,20714,10048,1,13.2,13.2,False
511541,2025-05-17,21578,10015,6,28.48,170.88,False
501950,2024-11-08,20235,10027,2,55.44,110.88,False
505778,2024-04-25,20810,10065,8,7.48,59.84,False
503069,2024-06-13,20416,10064,3,38.17,114.51,False
508403,2024-03-14,21191,10002,10,36.7,367.0,False
500962,2024-01-11,20137,10009,4,25.31,101.24,False
503440,2024-12-19,20442,10033,3,21.68,65.04,False
502516,2024-10-24,20318,10058,9,52.35,471.15,False
509375,2024-01-24,21337,10053,7,5.52,38.64,False
506413,2025-10-28,20822,10024,6,6.96,41.76,False
510566,2025-10-23,21416,10052,9,6.43,57.87,False
502415,2025-09-15,20257,10030,1,9.68,9.68,False
510591,2024-11-04,21470,10059,11,54.66,601.26,False
508463,2025-01-06,21157,10071,3,27.84,83.52,False
507056,2024-06-24,20984,10071,11,27.84,306.24,False
505578,2024-07-14,20770,10005,9,40.32,362.88,False
513672,2024-04-02,21941,10003,10,16.33,163.3,False
509570,2025-11-18,21270,10035,3,12.98,38.94,False
512426,2024-10-29,21733,10068,2,28.18,56.36,False
503769,2024-08-22,20506,10021,2,13.81,27.62,False
508719,2025-12-12,21145,10033,6,21.68,130.08,False
510438,2025-11-18,21394,10071,2,27.84,55.68,False
510148,2025-08-23,21365,10027,11,55.44,609.84,False
C506312,2024-06-22,20878,10072,-1,8.74,-8.74,True
504192,2024-12-15,20550,10030,4,9.68,38.72,False
C505279,2025-11-04,20659,10002,-1,36.7,-36.7,True
513243,2024-02-04,21888,10011,3,18.3,54.9,False
